GEO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
DEA,17999800,18009865,18052092,18076355,18079686,18075352,18058105,18028745,17996621,17933064,17872763,17545192,17544938,17554329,17571856,17638098,17865516,17890100,17912134
DEB,4030773,4034557,4049066,4057727,4058682,4061105,4058843,4052860,4045643,4028351,4012675,3994185,3990033,3990278,3994366,4011582,4052803,4066053,4073679
DEC,1071501,1068703,1066470,1064988,1061376,1056417,1050293,1043167,1036598,1030324,1022585,1001879,997855,994287,990718,989035,995597,996651,994187
DED,4459686,4425581,4384192,4349059,4321437,4296284,4273754,4249774,4220200,4192801,4168732,4066256,4054182,4050204,4046385,4055274,4084851,4081783,4081308
DEE,2648737,2615375,2580626,2548911,2522941,2494437,2469716,2441787,2412472,2381872,2356219,2297386,2276736,2259393,2244577,2235548,2245470,2236252,2223081
DEF,2777275,2789761,2804249,2816507,2823171,2828760,2832950,2834254,2837373,2834260,2832027,2800134,2802266,2806531,2815955,2830864,2858714,2881926,2889821
DEG,2449082,2431255,2411387,2392040,2373157,2355280,2334575,2311140,2289219,2267763,2249882,2195344,2181603,2170460,2160840,2156759,2170714,2158128,2151205
FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2144238,2171981,2187987,0
FRB,2450121,2461778,2472978,2484288,2494279,2507246,2519567,2526919,2531588,2538590,2548065,2556835,2563586,2570548,2577435,2578592,2577866,2575917,2571632
FRC,2734330,2742346,2749892,2756739,2762934,2771934,2779461,2792562,2802519,2810648,2813878,2816174,2816814,2819783,2820623,2820940,2818338,2812605,2804285
FRD,3211503,3221806,3231900,3240840,3249220,3259102,3267848,3278145,3293092,3303822,3310448,3315077,3322756,3328364,3335645,3339131,3335929,3332619,3326567
FRE,5860802,5869901,5879893,5887707,5893957,5904641,5912999,5922030,5931091,5944354,5953001,5960170,5973098,5987883,6006156,6009976,6006870,6001546,5992082
FRF,5400871,5416747,5432715,5446445,5458878,5475270,5490092,5506616,5521452,5531118,5532530,5539035,5548955,5552388,5554645,5559051,5555186,5546580,5533558
FRG,3248994,3281679,3314649,3347675,3379784,3415391,3450413,3482594,3510170,3539048,3571495,3601113,3632614,3660852,3690833,3718512,3737632,3756053,3771669
FRH,2927612,2954324,2981765,3009249,3037077,3066585,3094534,3120288,3149701,3175064,3199066,3217767,3237097,3258707,3276543,3293850,3306529,3315901,3323355
FRI,5296850,5340843,5386308,5431745,5476513,5526990,5574821,5627671,5671076,5708497,5745486,5773078,5808594,5844177,5879144,5911482,5935603,5957112,5973107
FRJ,4900326,4962851,5030703,5099077,5167552,5240791,5310966,5371117,5419946,5473597,5518106,5573466,5626858,5683878,5730753,5774185,5808435,5840292,5867640
FRK,7000751,7057821,7115944,7173919,7231833,7295515,7357284,7405206,7459092,7518004,7578078,7634223,7695264,7757595,7820966,7877698,7916889,7957342,7992341
FRL,4541508,4584379,4629496,4675056,4719132,4768564,4815232,4864015,4882913,4889053,4899155,4916069,4935576,4953675,4983438,5007977,5021928,5036446,5048454
